SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-11-2021,Single Family Residential,1481 18th Ave,Forest Grove,OR,97116,379900.0,3.0,2.5,GALES CREEK TERRACE,1510.0,,2020.0,324.0,252.0,57.0,Sold,,,https://www.redfin.com/OR/Forest-Grove/1481-18th-Ave-97116/home/175216189,RMLS,20683632.0,N,Y,45.517812,-123.121521
PAST SALE,April-14-2021,Single Family Residential,1607 Snapdragon Ln,Forest Grove,OR,97116,431000.0,3.0,2.5,"Hillsboro, Forest Grove",1721.0,6098.0,2002.0,262.0,250.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/1607-Snapdragon-Ln-97116/home/25826784,RMLS,21264240.0,N,Y,45.533657,-123.1197657
PAST SALE,March-1-2021,Single Family Residential,1584 18th Ave,Forest Grove,OR,97116,474900.0,4.0,3.5,"Hillsboro, Forest Grove",2302.0,,2020.0,306.0,206.0,57.0,Sold,,,https://www.redfin.com/OR/Forest-Grove/1584-18th-Ave-97116/home/175215853,RMLS,20244753.0,N,Y,45.517271,-123.120219
PAST SALE,,Single Family Residential,3308 22nd Ave,Forest Grove,OR,97116,480000.0,3.0,2.0,,1412.0,43124.0,1966.0,,340.0,,,,,https://www.redfin.com/OR/Forest-Grove/3308-22nd-Ave-97116/home/26638215,,,N,Y,45.5220221,-123.0893
PAST SALE,April-15-2021,Single Family Residential,1336 Larch St,Forest Grove,OR,97116,413550.0,4.0,2.0,"Hillsboro, Forest Grove",1816.0,10454.0,1977.0,261.0,228.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/1336-Larch-St-97116/home/26709135,RMLS,21555153.0,N,Y,45.5125513,-123.0939534
PAST SALE,March-22-2021,Single Family Residential,1427 Marlys Ct,Forest Grove,OR,97116,420000.0,3.0,2.5,"Hillsboro, Forest Grove",1344.0,6969.0,1996.0,285.0,313.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/1427-Marlys-Ct-97116/home/26728481,RMLS,21397886.0,N,Y,45.5131411,-123.095938
PAST SALE,April-23-2021,Single Family Residential,1215 Marvin Ct,Forest Grove,OR,97116,459000.0,4.0,2.5,The Hamptons,1500.0,6969.0,2000.0,253.0,306.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/1215-Marvin-Ct-97116/home/25759341,RMLS,21269567.0,N,Y,45.5112356,-123.0982442
PAST SALE,March-1-2021,Single Family Residential,2822 12th Ave,Forest Grove,OR,97116,415000.0,3.0,2.0,Hamptons,1296.0,6969.0,2000.0,306.0,320.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/2822-12th-Ave-97116/home/26701865,RMLS,21172753.0,N,Y,45.5106219,-123.0965861
PAST SALE,June-21-2021,Single Family Residential,1126 Hampton Ct,Forest Grove,OR,97116,445000.0,3.0,2.0,"Hillsboro, Forest Grove",1351.0,6969.0,2000.0,194.0,329.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/1126-Hampton-Ct-97116/home/26703238,RMLS,21057078.0,N,Y,45.5105036,-123.0987198
PAST SALE,September-7-2021,Single Family Residential,2421 11th Ave,Forest Grove,OR,97116,525000.0,4.0,2.5,"Hillsboro, Forest Grove",1959.0,6969.0,2004.0,116.0,268.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/2421-11th-Ave-97116/home/25867506,RMLS,21149531.0,N,Y,45.5099069,-123.1040914
